GetBattleInfo (killed), MoveForward, MoveForward (killed), GetBattleInfo (killed), MoveForward (killed), GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward
killed, MoveForward, killed, killed, killed, Shoot, MoveForward, Shoot, MoveForward, Shoot, MoveForward
killed, MoveForward, killed, killed, killed, Shoot (ignored), MoveForward (killed), Shoot (ignored), MoveForward (killed), Shoot (ignored), MoveForward (killed)
killed, MoveForward, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed
killed, MoveForward, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed
killed, MoveForward, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed
killed, MoveForward, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed
killed, MoveForward, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed
killed, MoveForward, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed
killed, MoveForward, killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, Shoot (ignored), killed
Tie, reached max steps=10, player1 has 3, player2 has 1
